索引	任务ID	前置任务ID	其他开启条件(多个条件#号分割）	接任务NPC	完成条件ID（多个条件#号分割）	奖励(多个用#隔开)	数量	提示图片	按钮显示的内容	显示的标题(#为空)	对话内容(#分页)	领取任务之后对话	完成任务对话	奖励名称多语言(多个用#隔开)		
280	2080110	2080109	@@@	20008	20801101	1041004	50	set:bird_icon.json image:g1041_coin_15	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_1041004		taskaffter_20008
281	2082210	2082209	@@@	20007	20822101	9000001	51920	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
282	2082110	2082109	@@@	20003	20821101	9000001	39940	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
283	2080710	2080709	@@@	20002	20807101	9000001	51920	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
284	1080208	1080207	@@@	20009	10802081	9000001	107520	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
285	2080111	2080110	@@@	20008	20801111	1041001	200	set:bird_icon.json image:g1041_coin_09	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_1041001		taskaffter_20008
286	2082211	2082210	@@@	20007	20822111	9000001	55910	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
287	2082111	2082110	@@@	20003	20821111	9000001	43010	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
288	2080711	2080710	@@@	20002	20807111	9000001	55910	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
289	1090501	1080208	@@@	20009	10905011	9000001#9000002	80000#90	set:bird_icon.json image:storeitem_02#set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001#fruitcoin_9000002		taskaffter_20009
290	2090101	2080111	@@@	20008	20901011	1041006	50	set:bird_icon.json image:g1041_coin_11	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_1041006		taskaffter_20008
291	2092201	2082211	@@@	20007	20922011	9000001	55910	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
292	2092101	2082111	@@@	20003	20921011	9000001	43010	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
293	2090701	2080711	@@@	20002	20907011	9000001	55910	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
294	1090601	1090501	@@@	20009	10906011	9000001	115200	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
295	2090102	2090101	@@@	20008	20901021	1041009	45	set:bird_icon.json image:g1041_coin_10	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_1041009		taskaffter_20008
296	2092202	2092201	@@@	20007	20922021	9000001	59900	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
297	2092102	2092101	@@@	20003	20921021	9000001	46080	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
298	2090702	2090701	@@@	20002	20907021	9000001	59900	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
299	1090201	1090601	@@@	20009	10902011	9000001	124800	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
300	2090103	2090102	@@@	20008	20901031	1041001	220	set:bird_icon.json image:g1041_coin_09	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
301	2092203	2092202	@@@	20007	20922031	9000001	64890	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
302	2092103	2092102	@@@	20003	20921031	9000001	49920	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
303	2090703	2090702	@@@	20002	20907031	9000001	64890	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
304	1090202	1090201	@@@	20009	10902021	9000001	134400	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
305	2090104	2090103	@@@	20008	20901041	1041003	40	set:bird_icon.json image:g1041_coin_14	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
306	2092204	2092203	@@@	20007	20922041	9000001	69880	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
307	2092104	2092103	@@@	20003	20921041	9000001	53760	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
308	2090704	2090703	@@@	20002	20907041	9000001	69880	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
309	1090203	1090202	@@@	20009	10902031	9000001	144000	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
310	2090105	2090104	@@@	20008	20901051	1041004	55	set:bird_icon.json image:g1041_coin_15	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
311	2092205	2092204	@@@	20007	20922051	9000001	74880	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
312	2092105	2092104	@@@	20003	20921051	9000001	57600	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
313	2090705	2090704	@@@	20002	20907051	9000001	74880	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
314	1090204	1090203	@@@	20009	10902041	9000001	153600	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
315	2090106	2090105	@@@	20008	20901061	1041005	45	set:bird_icon.json image:g1041_coin_12	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
316	2092206	2092205	@@@	20007	20922061	9000001	79870	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
317	2092106	2092105	@@@	20003	20921061	9000001	61440	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
318	2090706	2090705	@@@	20002	20907061	9000001	79870	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
319	1090602	1090204	@@@	20009	10906021	9000001	163200	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
320	2090107	2090106	@@@	20008	20901071	1041006	55	set:bird_icon.json image:g1041_coin_11	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
321	2092207	2092206	@@@	20007	20922071	9000001	84860	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
322	2092107	2092106	@@@	20003	20921071	9000001	65280	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
323	2090707	2090706	@@@	20002	20907071	9000001	84860	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
324	1090205	1090602	@@@	20009	10902051	9000001	172800	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
325	2090108	2090107	@@@	20008	20901081	1041009	50	set:bird_icon.json image:g1041_coin_10	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
326	2092208	2092207	@@@	20007	20922081	9000001	89850	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
327	2092108	2092107	@@@	20003	20921081	9000001	69120	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
328	2090708	2090707	@@@	20002	20907081	9000001	89850	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
329	1090206	1090205	@@@	20009	10902061	9000001	182400	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
330	2090109	2090108	@@@	20008	20901091	1041010	10	set:bird_icon.json image:g1041_coin_13	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
331	2092209	2092208	@@@	20007	20922091	9000001	94840	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
332	2092109	2092108	@@@	20003	20921091	9000001	72960	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
333	2090709	2090708	@@@	20002	20907091	9000001	94840	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
334	1090207	1090206	@@@	20009	10902071	9000001	192000	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
335	2090110	2090109	@@@	20008	20901101	1041001	240	set:bird_icon.json image:g1041_coin_09	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
336	2092210	2092209	@@@	20007	20922101	9000001	99840	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
337	2092110	2092109	@@@	20003	20921101	9000001	76800	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
338	2090710	2090709	@@@	20002	20907101	9000001	99840	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
339	1090208	1090207	@@@	20009	10902081	9000001	201600	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
340	2090111	2090110	@@@	20008	20901111	1041004	60	set:bird_icon.json image:g1041_coin_15	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
341	2092211	2092210	@@@	20007	20922111	9000001	104830	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
342	2092111	2092110	@@@	20003	20921111	9000001	80640	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
343	2090711	2090710	@@@	20002	20907111	9000001	104830	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
344	1100501	1090208	@@@	20009	11005011	9000001#9000002	150000#100	set:bird_icon.json image:storeitem_02#set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001#fruitcoin_9000002		taskaffter_20009
345	2100101	2090111	@@@	20008	21001011	1041005	50	set:bird_icon.json image:g1041_coin_12	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
346	2102201	2092211	@@@	20007	21022011	9000001	104830	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
347	2102101	2092111	@@@	20003	21021011	9000001	80640	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
348	2100701	2090711	@@@	20002	21007011	9000001	104830	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
349	1100601	1100501	@@@	20009	11006011	9000001	192000	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
350	2100102	2100101	@@@	20008	21001021	1041006	60	set:bird_icon.json image:g1041_coin_11	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
351	2102202	2102201	@@@	20007	21022021	9000001	99840	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
352	2102102	2102101	@@@	20003	21021021	9000001	76800	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
353	2100702	2100701	@@@	20002	21007021	9000001	99840	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
354	1100201	1100601	@@@	20009	11002011	9000001	193920	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
355	2100103	2100102	@@@	20008	21001031	1041009	55	set:bird_icon.json image:g1041_coin_10	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
356	2102203	2102202	@@@	20007	21022031	9000001	100840	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
357	2102103	2102102	@@@	20003	21021031	9000001	77570	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
358	2100703	2100702	@@@	20002	21007031	9000001	100840	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
359	1100202	1100201	@@@	20009	11002021	9000001	195840	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
360	2100104	2100103	@@@	20008	21001041	1041010	15	set:bird_icon.json image:g1041_coin_13	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
361	2102204	2102203	@@@	20007	21022041	9000001	101840	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
362	2102104	2102103	@@@	20003	21021041	9000001	78340	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
363	2100704	2100703	@@@	20002	21007041	9000001	101840	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
364	1100203	1100202	@@@	20009	11002031	9000001	197760	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
365	2100105	2100104	@@@	20008	21001051	1041003	45	set:bird_icon.json image:g1041_coin_14	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
366	2102205	2102204	@@@	20007	21022051	9000001	102830	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
367	2102105	2102104	@@@	20003	21021051	9000001	79100	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
368	2100705	2100704	@@@	20002	21007051	9000001	102830	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
369	1100204	1100203	@@@	20009	11002041	9000001	199680	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
370	2100106	2100105	@@@	20008	21001061	1041001	260	set:bird_icon.json image:g1041_coin_09	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
371	2102206	2102205	@@@	20007	21022061	9000001	103830	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
372	2102106	2102105	@@@	20003	21021061	9000001	79870	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
373	2100706	2100705	@@@	20002	21007061	9000001	103830	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
374	1100602	1100204	@@@	20009	11006021	9000001	201600	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
375	2100107	2100106	@@@	20008	21001071	1041005	55	set:bird_icon.json image:g1041_coin_12	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
376	2102207	2102206	@@@	20007	21022071	9000001	104830	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
377	2102107	2102106	@@@	20003	21021071	9000001	80640	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
378	2100707	2100706	@@@	20002	21007071	9000001	104830	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
379	1100205	1100602	@@@	20009	11002051	9000001	203520	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
380	2100108	2100107	@@@	20008	21001081	1041006	65	set:bird_icon.json image:g1041_coin_11	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
381	2102208	2102207	@@@	20007	21022081	9000001	105830	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
382	2102108	2102107	@@@	20003	21021081	9000001	81410	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
383	2100708	2100707	@@@	20002	21007081	9000001	105830	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
384	1100206	1100205	@@@	20009	11002061	9000001	205440	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
385	2100109	2100108	@@@	20008	21001091	1041009	60	set:bird_icon.json image:g1041_coin_10	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
386	2102209	2102208	@@@	20007	21022091	9000001	106830	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
387	2102109	2102108	@@@	20003	21021091	9000001	82180	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
388	2100709	2100708	@@@	20002	21007091	9000001	106830	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
389	1100207	1100206	@@@	20009	11002071	9000001	207360	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
390	2100110	2100109	@@@	20008	21001101	1041010	20	set:bird_icon.json image:g1041_coin_13	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
391	2102210	2102209	@@@	20007	21022101	9000001	107820	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20007	taskold_20007	taskaffter_20007	taskcomplete_20007	fruitcoin_9000001		taskaffter_20007
392	2102110	2102109	@@@	20003	21021101	9000001	82940	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20003	taskold_20003	taskaffter_20003	taskcomplete_20003	fruitcoin_9000001		taskaffter_20003
393	2100710	2100709	@@@	20002	21007101	9000001	107820	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20002	taskold_20002	taskaffter_20002	taskcomplete_20002	fruitcoin_9000001		taskaffter_20002
394	1100208	1100207	@@@	20009	11002081	9000001	209280	set:bird_icon.json image:storeitem_02	gui_dialog_tip_btn_sure	tastlang_id_20009	taskold_20009	taskaffter_20009	taskcomplete_20009	fruitcoin_9000001		taskaffter_20009
395	2100111	2100110	@@@	20008	21001111	1041003	50	set:bird_icon.json image:g1041_coin_14	gui_dialog_tip_btn_sure	tastlang_id_20008	taskold_20008	taskaffter_20008	taskcomplete_20008	fruitcoin_9000001		taskaffter_20008
