索引	id	类型	任务参数1	任务参数2	任务参数3	描述
629	11202101	2	101	224000	@@@	@@@
630	21201141	1	4003#4007	12	@@@	@@@
631	21222141	22	@@@	96760	2	@@@
632	21221141	21	@@@	107520	@@@	@@@
633	21207141	7	1041003	90	@@@	@@@
634	11202111	2	208	318000	@@@	@@@
635	21201151	1	4002#4006	12	@@@	@@@
636	21222151	22	@@@	98140	1	@@@
637	21221151	21	@@@	109050	@@@	@@@
638	21207151	7	1041004	100	@@@	@@@
639	11202121	2	309	414700	@@@	@@@
640	21201161	1	4004#4008	12	@@@	@@@
641	21222161	22	@@@	99530	3	@@@
642	21221161	21	@@@	110590	@@@	@@@
643	21207161	7	1041005	100	@@@	@@@
644	11202131	2	105	233600	@@@	@@@
645	21201171	1	4009	6	@@@	@@@
646	21222171	22	@@@	100900	4	@@@
647	21221171	21	@@@	112120	@@@	@@@
648	21207171	7	1041001	400	@@@	@@@
649	11206041	6	15	1	@@@	@@@
650	21201181	1	4010	6	@@@	@@@
651	21222181	22	@@@	102290	2	@@@
652	21221181	21	@@@	113660	@@@	@@@
653	21207181	7	1041009	90	@@@	@@@
654	11202141	2	410	480000	@@@	@@@
655	21201191	1	4001#4005	12	@@@	@@@
656	21222191	22	@@@	103680	1	@@@
657	21221191	21	@@@	115200	@@@	@@@
658	21207191	7	1041010	55	@@@	@@@
659	11202151	2	411	486400	@@@	@@@
660	21201201	1	4003#4007	12	@@@	@@@
661	21222201	22	@@@	105050	3	@@@
662	21221201	21	@@@	116730	@@@	@@@
663	21207201	7	1041003	95	@@@	@@@
664	11202161	2	412	492800	@@@	@@@
665	21201211	1	4002#4006	12	@@@	@@@
666	21222211	22	@@@	106440	4	@@@
667	21221211	21	@@@	118270	@@@	@@@
668	21207211	7	1041004	105	@@@	@@@
669	11202171	2	413	499200	@@@	@@@
670	21201221	1	4004#4008	12	@@@	@@@
671	21222221	22	@@@	107820	2	@@@
672	21221221	21	@@@	119800	@@@	@@@
673	21207221	7	1041005	105	@@@	@@@
674	11305011	5	@@@	13	@@@	@@@
675	21301011	1	4009	6	@@@	@@@
676	21322011	22	@@@	118610	1	@@@
677	21321011	21	@@@	131790	@@@	@@@
678	21307011	7	1041006	105	@@@	@@@
679	11306011	6	15	3	@@@	@@@
680	21301021	1	4010	6	@@@	@@@
681	21322021	22	@@@	106440	3	@@@
682	21321021	21	@@@	118270	@@@	@@@
683	21307021	7	1041009	95	@@@	@@@
684	11302011	2	101	247300	@@@	@@@
685	21301031	1	4001#4005	12	@@@	@@@
686	21322031	22	@@@	106850	4	@@@
687	21321031	21	@@@	118730	@@@	@@@
688	21307031	7	1041010	60	@@@	@@@
689	11302021	2	208	347600	@@@	@@@
690	21301041	1	4003#4007	12	@@@	@@@
691	21322041	22	@@@	107270	2	@@@
692	21321041	21	@@@	119190	@@@	@@@
693	21307041	7	1041001	420	@@@	@@@
694	11302031	2	206	348900	@@@	@@@
695	21301051	1	4002#4006	12	@@@	@@@
696	21322051	22	@@@	107680	1	@@@
697	21321051	21	@@@	119650	@@@	@@@
698	21307051	7	1041004	110	@@@	@@@
699	11302041	2	105	250200	@@@	@@@
700	21301061	1	4004#4008	12	@@@	@@@
701	21322061	22	@@@	108090	3	@@@
702	21321061	21	@@@	120110	@@@	@@@
703	21307061	7	1041005	110	@@@	@@@
704	11306021	6	15	5	@@@	@@@
705	21301071	1	4009	6	@@@	@@@
706	21322071	22	@@@	108510	4	@@@
707	21321071	21	@@@	120570	@@@	@@@
708	21307071	7	1041006	110	@@@	@@@
709	11302051	2	410	504300	@@@	@@@
710	21301081	1	4010	6	@@@	@@@
711	21322081	22	@@@	108930	2	@@@
712	21321081	21	@@@	121040	@@@	@@@
713	21307081	7	1041009	100	@@@	@@@
714	11302061	2	411	506200	@@@	@@@
715	21301091	1	4001#4005	12	@@@	@@@
716	21322091	22	@@@	109340	1	@@@
717	21321091	21	@@@	121490	@@@	@@@
718	21307091	7	1041010	65	@@@	@@@
719	11302071	2	412	508100	@@@	@@@
720	21301101	1	4003#4007	12	@@@	@@@
721	21322101	22	@@@	109760	3	@@@
722	21321101	21	@@@	121960	@@@	@@@
723	21307101	7	1041003	100	@@@	@@@
724	11302081	2	413	510000	@@@	@@@
725	21301111	1	4002#4006	12	@@@	@@@
726	21322111	22	@@@	110160	4	@@@
727	21321111	21	@@@	122410	@@@	@@@
728	21307111	7	1041004	115	@@@	@@@
729	11302091	2	411	512000	@@@	@@@
730	21301121	1	4004#4008	12	@@@	@@@
731	21322121	22	@@@	110590	2	@@@
732	21321121	21	@@@	122880	@@@	@@@
733	21307121	7	1041001	440	@@@	@@@
734	11306031	6	15	7	@@@	@@@
735	21301131	1	4009	6	@@@	@@@
736	21322131	22	@@@	111000	1	@@@
737	21321131	21	@@@	123340	@@@	@@@
738	21307131	7	1041006	115	@@@	@@@
739	11302101	2	101	257900	@@@	@@@
740	21301141	1	4010	6	@@@	@@@
741	21322141	22	@@@	111420	3	@@@
742	21321141	21	@@@	123800	@@@	@@@
743	21307141	7	1041009	105	@@@	@@@
744	11302111	2	208	362400	@@@	@@@
745	21301151	1	4001#4005	12	@@@	@@@
746	21322151	22	@@@	111830	4	@@@
747	21321151	21	@@@	124260	@@@	@@@
748	21307151	7	1041010	70	@@@	@@@
749	11302121	2	309	467700	@@@	@@@
750	21301161	1	4003#4007	12	@@@	@@@
751	21322161	22	@@@	112240	2	@@@
752	21321161	21	@@@	124720	@@@	@@@
753	21307161	7	1041003	105	@@@	@@@
754	11302131	2	105	260800	@@@	@@@
755	21301171	1	4002#4006	12	@@@	@@@
756	21322171	22	@@@	112660	1	@@@
757	21321171	21	@@@	125180	@@@	@@@
758	21307171	7	1041004	120	@@@	@@@
759	11306041	6	16	2	@@@	@@@
760	21301181	1	4004#4008	12	@@@	@@@
761	21322181	22	@@@	113070	3	@@@
762	21321181	21	@@@	125640	@@@	@@@
763	21307181	7	1041005	115	@@@	@@@
764	11302141	2	207	367800	@@@	@@@
765	21301191	1	4009	6	@@@	@@@
766	21322191	22	@@@	113490	4	@@@
767	21321191	21	@@@	126100	@@@	@@@
768	21307191	7	1041006	120	@@@	@@@
769	11302151	2	102	263600	@@@	@@@
770	21301201	1	4010	6	@@@	@@@
771	21322201	22	@@@	113900	2	@@@
772	21321201	21	@@@	126560	@@@	@@@
773	21307201	7	1041009	110	@@@	@@@
774	11302161	2	104	264600	@@@	@@@
775	21301211	1	4001#4005	12	@@@	@@@
776	21322211	22	@@@	114310	1	@@@
777	21321211	21	@@@	127020	@@@	@@@
778	21307211	7	1041010	75	@@@	@@@
779	11302171	2	103	265600	@@@	@@@
780	21301221	1	4003#4007	12	@@@	@@@
781	21322221	22	@@@	114730	3	@@@
782	21321221	21	@@@	127480	@@@	@@@
783	21307221	7	1041003	110	@@@	@@@
784	11405011	5	@@@	14	@@@	@@@
785	21401011	1	4002#4006	12	@@@	@@@
786	21422011	22	@@@	126210	4	@@@
787	21421011	21	@@@	140240	@@@	@@@
788	21407011	7	1041004	125	@@@	@@@
789	11406011	6	16	6	@@@	@@@
790	21401021	1	4004#4008	12	@@@	@@@
791	21422021	22	@@@	115420	2	@@@
792	21421021	21	@@@	128250	@@@	@@@
793	21407021	7	1041001	460	@@@	@@@
794	11402011	2	410	535000	@@@	@@@
795	21401031	1	4009	6	@@@	@@@
796	21422031	22	@@@	115560	1	@@@
797	21421031	21	@@@	128400	@@@	@@@
798	21407031	7	1041006	125	@@@	@@@
799	11402021	2	411	535600	@@@	@@@
800	21401041	1	4010	6	@@@	@@@
801	21422041	22	@@@	115700	3	@@@
802	21421041	21	@@@	128560	@@@	@@@
803	21407041	7	1041009	115	@@@	@@@
804	11402031	2	412	536300	@@@	@@@
805	21401051	1	4001#4005	12	@@@	@@@
806	21422051	22	@@@	115840	4	@@@
807	21421051	21	@@@	128720	@@@	@@@
808	21407051	7	1041010	80	@@@	@@@
809	11402041	2	413	536900	@@@	@@@
810	21401061	1	4003#4007	12	@@@	@@@
811	21422061	22	@@@	115980	2	@@@
812	21421061	21	@@@	128870	@@@	@@@
813	21407061	7	1041003	115	@@@	@@@
814	11406021	6	17	1	@@@	@@@
815	21401071	1	4002#4006	12	@@@	@@@
816	21422071	22	@@@	116110	1	@@@
817	21421071	21	@@@	129020	@@@	@@@
818	21407071	7	1041004	130	@@@	@@@
819	11402051	2	309	484400	@@@	@@@
820	21401081	1	4004#4008	12	@@@	@@@
821	21422081	22	@@@	116250	3	@@@
822	21421081	21	@@@	129170	@@@	@@@
823	21407081	7	1041005	120	@@@	@@@
824	11402061	2	102	269400	@@@	@@@
825	21401091	1	4009	6	@@@	@@@
826	21422091	22	@@@	116380	4	@@@
827	21421091	21	@@@	129320	@@@	@@@
828	21407091	7	1041001	480	@@@	@@@
829	11402071	2	104	269700	@@@	@@@
830	21401101	1	4010	6	@@@	@@@
831	21422101	22	@@@	116530	2	@@@
832	21421101	21	@@@	129480	@@@	@@@
833	21407101	7	1041009	120	@@@	@@@
834	11402081	2	103	270000	@@@	@@@
835	21401111	1	4001#4005	12	@@@	@@@
836	21422111	22	@@@	116670	1	@@@
837	21421111	21	@@@	129640	@@@	@@@
838	21407111	7	1041010	85	@@@	@@@
839	11402091	2	104	270400	@@@	@@@
840	21401121	1	4003#4007	12	@@@	@@@
841	21422121	22	@@@	116810	3	@@@
842	21421121	21	@@@	129790	@@@	@@@
843	21407121	7	1041003	120	@@@	@@@
844	11406031	6	17	3	@@@	@@@
845	21401131	1	4002#4006	12	@@@	@@@
846	21422131	22	@@@	116940	4	@@@
847	21421131	21	@@@	129940	@@@	@@@
848	21407131	7	1041001	500	@@@	@@@
849	11402101	2	101	271000	@@@	@@@
850	21401141	1	4004#4008	12	@@@	@@@
851	21422141	22	@@@	117080	2	@@@
852	21421141	21	@@@	130090	@@@	@@@
853	21407141	7	1041005	125	@@@	@@@
854	11402111	2	208	379900	@@@	@@@
855	21401151	1	4009	6	@@@	@@@
856	21422151	22	@@@	117220	1	@@@
857	21421151	21	@@@	130250	@@@	@@@
858	21407151	7	1041006	130	@@@	@@@
859	11402121	2	206	380300	@@@	@@@
860	21401161	1	4010	6	@@@	@@@
861	21422161	22	@@@	117360	3	@@@
862	21421161	21	@@@	130400	@@@	@@@
863	21407161	7	1041009	125	@@@	@@@
864	11402131	2	105	272000	@@@	@@@
865	21401171	1	4001#4005	12	@@@	@@@
866	21422171	22	@@@	117500	4	@@@
867	21421171	21	@@@	130560	@@@	@@@
868	21407171	7	1041010	90	@@@	@@@
869	11406041	6	17	5	@@@	@@@
870	21401181	1	4003#4007	12	@@@	@@@
871	21422181	22	@@@	117630	2	@@@
872	21421181	21	@@@	130710	@@@	@@@
873	21407181	7	1041001	520	@@@	@@@
874	11402141	2	207	381600	@@@	@@@
875	21401191	1	4002#4006	12	@@@	@@@
876	21422191	22	@@@	117770	1	@@@
877	21421191	21	@@@	130860	@@@	@@@
878	21407191	7	1041004	135	@@@	@@@
879	11402151	2	102	272900	@@@	@@@
880	21401201	1	4004#4008	12	@@@	@@@
881	21422201	22	@@@	117910	3	@@@
882	21421201	21	@@@	131020	@@@	@@@
883	21407201	7	1041005	130	@@@	@@@
884	11402161	2	104	273200	@@@	@@@
885	21401211	1	4009	6	@@@	@@@
886	21422211	22	@@@	118050	4	@@@
887	21421211	21	@@@	131170	@@@	@@@
888	21407211	7	1041006	135	@@@	@@@
889	11402171	2	103	273600	@@@	@@@
890	21401221	1	4010	6	@@@	@@@
891	21422221	22	@@@	118180	2	@@@
892	21421221	21	@@@	131320	@@@	@@@
893	21407221	7	1041009	130	@@@	@@@
894	11505011	5	@@@	15	@@@	@@@
895	21501011	1	4001#4005	12	@@@	@@@
896	21522011	22	@@@	130010	1	@@@
897	21521011	21	@@@	144460	@@@	@@@
898	21507011	7	1041010	95	@@@	@@@
899	11506011	6	17	8	@@@	@@@
900	21501021	1	4003#4007	12	@@@	@@@
901	21522021	22	@@@	118180	3	@@@
902	21521021	21	@@@	131320	@@@	@@@
903	21507021	7	1041003	125	@@@	@@@
904	11502011	2	410	550400	@@@	@@@
905	21501031	1	4002#4006	12	@@@	@@@
906	21522031	22	@@@	118880	4	@@@
907	21521031	21	@@@	132090	@@@	@@@
908	21507031	7	1041004	140	@@@	@@@
909	11502021	2	411	553600	@@@	@@@
910	21501041	1	4004#4008	12	@@@	@@@
911	21522041	22	@@@	119570	2	@@@
912	21521041	21	@@@	132860	@@@	@@@
913	21507041	7	1041005	135	@@@	@@@
914	11502031	2	412	556800	@@@	@@@
915	21501051	1	4009	6	@@@	@@@
916	21522051	22	@@@	120260	1	@@@
917	21521051	21	@@@	133630	@@@	@@@
918	21507051	7	1041006	140	@@@	@@@
919	11502041	2	309	504000	@@@	@@@
920	21501061	1	4010	6	@@@	@@@
921	21522061	22	@@@	120960	3	@@@
922	21521061	21	@@@	134400	@@@	@@@
923	21507061	7	1041009	135	@@@	@@@
924	11506021	6	18	1	@@@	@@@
925	21501071	1	4001#4005	12	@@@	@@@
926	21522071	22	@@@	121640	4	@@@
927	21521071	21	@@@	135160	@@@	@@@
928	21507071	7	1041001	540	@@@	@@@
929	11502051	2	207	396400	@@@	@@@
930	21501081	1	4003#4007	12	@@@	@@@
931	21522081	22	@@@	122330	2	@@@
932	21521081	21	@@@	135930	@@@	@@@
933	21507081	7	1041003	130	@@@	@@@
934	11502061	2	102	284800	@@@	@@@
935	21501091	1	4002#4006	12	@@@	@@@
936	21522091	22	@@@	123030	1	@@@
937	21521091	21	@@@	136700	@@@	@@@
938	21507091	7	1041004	145	@@@	@@@
939	11502071	2	104	286400	@@@	@@@
940	21501101	1	4004#4008	12	@@@	@@@
941	21522101	22	@@@	123720	3	@@@
942	21521101	21	@@@	137470	@@@	@@@
943	21507101	7	1041005	140	@@@	@@@
944	11502081	2	103	288000	@@@	@@@
945	21501111	1	4009	6	@@@	@@@
946	21522111	22	@@@	124410	4	@@@
947	21521111	21	@@@	138240	@@@	@@@
948	21507111	7	1041006	145	@@@	@@@
949	11502091	2	102	289600	@@@	@@@
950	21501121	1	4010	6	@@@	@@@
951	21522121	22	@@@	125100	2	@@@
952	21521121	21	@@@	139000	@@@	@@@
953	21507121	7	1041001	560	@@@	@@@
954	11506031	6	18	3	@@@	@@@
955	21501131	1	4001#4005	12	@@@	@@@
956	21522131	22	@@@	125790	1	@@@
957	21521131	21	@@@	139770	@@@	@@@
958	21507131	7	1041010	100	@@@	@@@
959	11502101	2	101	292800	@@@	@@@
960	21501141	1	4003#4007	12	@@@	@@@
961	21522141	22	@@@	126480	3	@@@
962	21521141	21	@@@	140540	@@@	@@@
963	21507141	7	1041003	135	@@@	@@@
964	11502111	2	208	412100	@@@	@@@
965	21501151	1	4002#4006	12	@@@	@@@
966	21522151	22	@@@	127170	4	@@@
967	21521151	21	@@@	141310	@@@	@@@
968	21507151	7	1041004	150	@@@	@@@
969	11502121	2	206	414400	@@@	@@@
970	21501161	1	4004#4008	12	@@@	@@@
971	21522161	22	@@@	127870	2	@@@
972	21521161	21	@@@	142080	@@@	@@@
973	21507161	7	1041005	145	@@@	@@@
974	11502131	2	105	297600	@@@	@@@
975	21501171	1	4009	6	@@@	@@@
976	21522171	22	@@@	128550	1	@@@
977	21521171	21	@@@	142840	@@@	@@@
978	21507171	7	1041006	150	@@@	@@@
979	11506041	6	18	5	@@@	@@@
980	21501181	1	4010	6	@@@	@@@
981	21522181	22	@@@	129240	3	@@@
982	21521181	21	@@@	143610	@@@	@@@
983	21507181	7	1041009	140	@@@	@@@
984	11502141	2	410	601600	@@@	@@@
985	21501191	1	4001#4005	12	@@@	@@@
986	21522191	22	@@@	129940	4	@@@
987	21521191	21	@@@	144380	@@@	@@@
988	21507191	7	1041010	105	@@@	@@@
989	11502151	2	309	544300	@@@	@@@
990	21501201	1	4003#4007	12	@@@	@@@
991	21522201	22	@@@	130630	2	@@@
992	21521201	21	@@@	145150	@@@	@@@
993	21507201	7	1041001	580	@@@	@@@
994	11502161	2	412	608000	@@@	@@@
995	21501211	1	4002#4006	12	@@@	@@@
996	21522211	22	@@@	131320	1	@@@
997	21521211	21	@@@	145920	@@@	@@@
998	21507211	7	1041004	155	@@@	@@@
999	11502171	2	413	611200	@@@	@@@
1000	21501221	1	4004#4008	12	@@@	@@@
1001	21522221	22	@@@	132010	3	@@@
1002	21521221	21	@@@	146680	@@@	@@@
1003	21507221	7	1041001	600	@@@	@@@
1004	11605011	5	@@@	16	@@@	@@@
1005	21601011	1	4009	6	@@@	@@@
1006	21622011	22	@@@	145220	4	@@@
1007	21621011	21	@@@	161360	@@@	@@@
1008	21607011	7	1041006	155	@@@	@@@
1009	11606011	6	18	8	@@@	@@@
1010	21601021	1	4010	6	@@@	@@@
1011	21622021	22	@@@	132430	2	@@@
1012	21621021	21	@@@	147150	@@@	@@@
1013	21607021	7	1041009	145	@@@	@@@
1014	11602011	2	101	308800	@@@	@@@
1015	21601031	1	4001#4005	12	@@@	@@@
1016	21622031	22	@@@	133390	1	@@@
1017	21621031	21	@@@	148220	@@@	@@@
1018	21607031	7	1041010	110	@@@	@@@
1019	11602021	2	208	435400	@@@	@@@
1020	21601041	1	4003#4007	12	@@@	@@@
1021	21622041	22	@@@	134360	3	@@@
1022	21621041	21	@@@	149290	@@@	@@@
1023	21607041	7	1041003	140	@@@	@@@
1024	11602031	2	206	438500	@@@	@@@
1025	21601051	1	4002#4006	12	@@@	@@@
1026	21622051	22	@@@	135330	4	@@@
1027	21621051	21	@@@	150370	@@@	@@@
1028	21607051	7	1041004	160	@@@	@@@
1029	11602041	2	105	315500	@@@	@@@
1030	21601061	1	4004#4008	12	@@@	@@@
1031	21622061	22	@@@	136290	2	@@@
1032	21621061	21	@@@	151440	@@@	@@@
1033	21607061	7	1041005	150	@@@	@@@
1034	11606021	6	19	1	@@@	@@@
1035	21601071	1	4009	6	@@@	@@@
1036	21622071	22	@@@	137260	1	@@@
1037	21621071	21	@@@	152520	@@@	@@@
1038	21607071	7	1041006	160	@@@	@@@
1039	11602051	2	207	448000	@@@	@@@
1040	21601081	1	4010	6	@@@	@@@
1041	21622081	22	@@@	138240	3	@@@
1042	21621081	21	@@@	153600	@@@	@@@
1043	21607081	7	1041001	620	@@@	@@@
1044	11602061	2	102	322200	@@@	@@@
1045	21601091	1	4001#4005	12	@@@	@@@
1046	21622091	22	@@@	139200	4	@@@
1047	21621091	21	@@@	154670	@@@	@@@
1048	21607091	7	1041010	115	@@@	@@@
1049	11602071	2	104	324400	@@@	@@@
1050	21601101	1	4003#4007	12	@@@	@@@
1051	21622101	22	@@@	140170	2	@@@
1052	21621101	21	@@@	155750	@@@	@@@
1053	21607101	7	1041003	145	@@@	@@@
1054	11602081	2	103	326700	@@@	@@@
1055	21601111	1	4002#4006	12	@@@	@@@
1056	21622111	22	@@@	141130	1	@@@
1057	21621111	21	@@@	156820	@@@	@@@
1058	21607111	7	1041004	165	@@@	@@@
1059	11602091	2	207	460500	@@@	@@@
1060	21601121	1	4004#4008	12	@@@	@@@
1061	21622121	22	@@@	142110	3	@@@
1062	21621121	21	@@@	157900	@@@	@@@
1063	21607121	7	1041005	155	@@@	@@@
1064	11606031	6	19	3	@@@	@@@
1065	21601131	1	4009	6	@@@	@@@
1066	21622131	22	@@@	143070	4	@@@
1067	21621131	21	@@@	158970	@@@	@@@
1068	21607131	7	1041006	165	@@@	@@@
1069	11602101	2	309	600100	@@@	@@@
1070	21601141	1	4010	6	@@@	@@@
1071	21622141	22	@@@	144030	2	@@@
1072	21621141	21	@@@	160040	@@@	@@@
1073	21607141	7	1041009	150	@@@	@@@
1074	11602111	2	208	469900	@@@	@@@
1075	21601151	1	4001#4005	12	@@@	@@@
1076	21622151	22	@@@	145000	1	@@@
1077	21621151	21	@@@	161120	@@@	@@@
1078	21607151	7	1041010	120	@@@	@@@
1079	11602121	2	206	473000	@@@	@@@
1080	21601161	1	4003#4007	12	@@@	@@@
1081	21622161	22	@@@	145980	3	@@@
1082	21621161	21	@@@	162200	@@@	@@@
1083	21607161	7	1041001	640	@@@	@@@
1084	11602131	2	309	612200	@@@	@@@
1085	21601171	1	4002#4006	12	@@@	@@@
1086	21622171	22	@@@	146950	4	@@@
1087	21621171	21	@@@	163280	@@@	@@@
1088	21607171	7	1041004	170	@@@	@@@
1089	11606041	6	19	5	@@@	@@@
1090	21601181	1	4004#4008	12	@@@	@@@
1091	21622181	22	@@@	147910	2	@@@
1092	21621181	21	@@@	164350	@@@	@@@
1093	21607181	7	1041005	160	@@@	@@@
1094	11602141	2	410	689200	@@@	@@@
1095	21601191	1	4009	6	@@@	@@@
1096	21622191	22	@@@	148870	1	@@@
1097	21621191	21	@@@	165420	@@@	@@@
1098	21607191	7	1041006	170	@@@	@@@
1099	11602151	2	411	693700	@@@	@@@
1100	21601201	1	4010	6	@@@	@@@
1101	21622201	22	@@@	149850	3	@@@
1102	21621201	21	@@@	166500	@@@	@@@
1103	21607201	7	1041009	155	@@@	@@@
1104	11602161	2	412	698200	@@@	@@@
1105	21601211	1	4009	6	@@@	@@@
1106	21622211	22	@@@	150810	4	@@@
1107	21621211	21	@@@	167570	@@@	@@@
1108	21607211	7	1041010	125	@@@	@@@
1109	11602171	2	413	702700	@@@	@@@
1110	21601221	1	4010	6	@@@	@@@
1111	21622221	22	@@@	151780	2	@@@
1112	21621221	21	@@@	168650	@@@	@@@
1113	21607221	7	1041001	660	@@@	@@@
1114	99900001	1	4001#4005	1	@@@	@@@
1115	99900002	1	4002#4006	1	@@@	@@@
1116	99900003	1	4003#4007	1	@@@	@@@
1117	99900004	1	4004#4008	1	@@@	@@@
1118	99900005	1	4001#4005	2	@@@	@@@
1119	99900006	1	4002#4006	2	@@@	@@@
1120	99900007	1	4003#4007	2	@@@	@@@
1121	99900008	1	4004#4008	2	@@@	@@@
1122	99900009	21	@@@	100	@@@	@@@
1123	99900010	21	@@@	200	@@@	@@@
1124	99900011	21	@@@	290	@@@	@@@
1125	99900012	21	@@@	420	@@@	@@@
1126	99900013	21	@@@	960	@@@	@@@
1127	99900014	21	@@@	1470	@@@	@@@
1128	99900015	21	@@@	3810	@@@	@@@
1129	99900016	21	@@@	11830	@@@	@@@
1130	99900017	21	@@@	35490	@@@	@@@
1131	99900018	21	@@@	66530	@@@	@@@
1132	99900019	21	@@@	76030	@@@	@@@
1133	99900020	21	@@@	120380	@@@	@@@
1134	99900021	21	@@@	164740	@@@	@@@
1135	99900022	21	@@@	175300	@@@	@@@
1136	99900023	21	@@@	180580	@@@	@@@
1137	99900024	21	@@@	201700	@@@	@@@
